mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.003125286102294922,0.006250572204589844,0.009342336654663086,0.0076283422096027065,1,1,"{'n_neighbors': 1, 'p': 1}",0.9936708860759493,0.9936708860759493,1.0,0.9620253164556962,0.9808917197452229,0.9860517616705635,0.013524433949253067,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0005970954895019531,0.0011941909790039063,0.010793066024780274,0.006645775474596154,1,2,"{'n_neighbors': 1, 'p': 2}",0.9873417721518988,0.9936708860759493,1.0,0.9620253164556962,0.9745222929936306,0.9835120535354349,0.013654425413166742,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0013275623321533203,0.0026551246643066405,0.006676864624023437,0.00734853388278977,2,1,"{'n_neighbors': 2, 'p': 1}",0.9240506329113924,0.9240506329113924,0.9746835443037974,0.9493670886075949,0.910828025477707,0.9365959848423767,0.02277069483820377,4,0.9841521394611727,0.9841521394611727,0.9904912836767037,0.9952456418383518,0.9841772151898734,0.987643683925455,0.004523201508658465
0.0024566650390625,0.0029564125152497624,0.006130599975585937,0.004267202260180182,2,2,"{'n_neighbors': 2, 'p': 2}",0.9177215189873418,0.930379746835443,0.9746835443037974,0.9556962025316456,0.9299363057324841,0.9416834636781424,0.020617015783577254,3,0.9809825673534073,0.9825673534072901,0.9873217115689382,0.993660855784469,0.9857594936708861,0.9860583963569981,0.004414388257442389
0.002507638931274414,0.003063428027659546,0.006105804443359375,0.004275868611910696,3,1,"{'n_neighbors': 3, 'p': 1}",0.8670886075949367,0.8987341772151899,0.9683544303797469,0.8670886075949367,0.8853503184713376,0.8973232282512296,0.03746741943037573,6,0.9778129952456418,0.9793977812995246,0.9873217115689382,0.9809825673534073,0.9778481012658228,0.9806726313466669,0.003523834831005899
0.003240346908569336,0.003968694716167593,0.006133079528808594,0.0033786268663599877,3,2,"{'n_neighbors': 3, 'p': 2}",0.8670886075949367,0.8924050632911392,0.9556962025316456,0.9113924050632911,0.89171974522293,0.9036604047407886,0.02957791908862116,5,0.9730586370839936,0.9762282091917591,0.9825673534072901,0.9841521394611727,0.9794303797468354,0.9790873437782102,0.004059562808794749
0.0024451255798339845,0.003912403993273495,0.007782459259033203,0.003928337131247941,4,1,"{'n_neighbors': 4, 'p': 1}",0.8291139240506329,0.8417721518987342,0.8924050632911392,0.8164556962025317,0.8343949044585988,0.8428283479803274,0.026129261016425598,42,0.93026941362916,0.9334389857369255,0.9223454833597464,0.9255150554675119,0.9335443037974683,0.9290226483981623,0.00443602451973486
0.002926540374755859,0.0028525390021097406,0.005703449249267578,0.00391241717224009,4,2,"{'n_neighbors': 4, 'p': 2}",0.8037974683544303,0.8481012658227848,0.8924050632911392,0.8544303797468354,0.8343949044585988,0.8466258163347578,0.028784336744780505,24,0.9255150554675119,0.9318541996830428,0.9286846275752774,0.9318541996830428,0.935126582278481,0.9306069329374711,0.003260707067784728
0.0020570755004882812,0.0031219489362639924,0.006538248062133789,0.004519310492564246,5,1,"{'n_neighbors': 5, 'p': 1}",0.810126582278481,0.8227848101265823,0.8670886075949367,0.8354430379746836,0.802547770700637,0.8275981617350642,0.022702351996296544,68,0.9207606973058637,0.9096671949286846,0.9144215530903328,0.9255150554675119,0.9145569620253164,0.9169842925635419,0.0055323527264439865
0.0020580291748046875,0.0031361464364928126,0.006122732162475586,0.004288389700425025,5,2,"{'n_neighbors': 5, 'p': 2}",0.7721518987341772,0.810126582278481,0.8417721518987342,0.8354430379746836,0.8089171974522293,0.813682173667661,0.024587366906287496,85,0.9128367670364501,0.901743264659271,0.9112519809825673,0.919175911251981,0.9177215189873418,0.9125458885835223,0.006151420022469756
